region,sector,Year,co2.emiss,scenario
AH,agricultural energy use,1990,0,GCAM-China-ref
BJ,agricultural energy use,1990,0,GCAM-China-ref
CQ,agricultural energy use,1990,0,GCAM-China-ref
FJ,agricultural energy use,1990,0,GCAM-China-ref
GD,agricultural energy use,1990,0,GCAM-China-ref
GS,agricultural energy use,1990,0,GCAM-China-ref
GX,agricultural energy use,1990,0,GCAM-China-ref
GZ,agricultural energy use,1990,0,GCAM-China-ref
HA,agricultural energy use,1990,0,GCAM-China-ref
HB,agricultural energy use,1990,0,GCAM-China-ref
HE,agricultural energy use,1990,0,GCAM-China-ref
HI,agricultural energy use,1990,0,GCAM-China-ref
HL,agricultural energy use,1990,0,GCAM-China-ref
HN,agricultural energy use,1990,0,GCAM-China-ref
JL,agricultural energy use,1990,0,GCAM-China-ref
JS,agricultural energy use,1990,0,GCAM-China-ref
JX,agricultural energy use,1990,0,GCAM-China-ref
LN,agricultural energy use,1990,0,GCAM-China-ref
NM,agricultural energy use,1990,0,GCAM-China-ref
NX,agricultural energy use,1990,0,GCAM-China-ref
QH,agricultural energy use,1990,0,GCAM-China-ref
SC,agricultural energy use,1990,0,GCAM-China-ref
SD,agricultural energy use,1990,0,GCAM-China-ref
SH,agricultural energy use,1990,0,GCAM-China-ref
SN,agricultural energy use,1990,0,GCAM-China-ref
SX,agricultural energy use,1990,0,GCAM-China-ref
TJ,agricultural energy use,1990,0,GCAM-China-ref
XJ,agricultural energy use,1990,0,GCAM-China-ref
XZ,agricultural energy use,1990,0,GCAM-China-ref
YN,agricultural energy use,1990,0,GCAM-China-ref
ZJ,agricultural energy use,1990,0,GCAM-China-ref
AH,airCO2,1990,0,GCAM-China-ref
BJ,airCO2,1990,0,GCAM-China-ref
CQ,airCO2,1990,0,GCAM-China-ref
FJ,airCO2,1990,0,GCAM-China-ref
GD,airCO2,1990,0,GCAM-China-ref
GS,airCO2,1990,0,GCAM-China-ref
GX,airCO2,1990,0,GCAM-China-ref
GZ,airCO2,1990,0,GCAM-China-ref
HA,airCO2,1990,0,GCAM-China-ref
HB,airCO2,1990,0,GCAM-China-ref
HE,airCO2,1990,0,GCAM-China-ref
HL,airCO2,1990,0,GCAM-China-ref
HN,airCO2,1990,0,GCAM-China-ref
JL,airCO2,1990,0,GCAM-China-ref
JS,airCO2,1990,0,GCAM-China-ref
JX,airCO2,1990,0,GCAM-China-ref
LN,airCO2,1990,0,GCAM-China-ref
NM,airCO2,1990,0,GCAM-China-ref
NX,airCO2,1990,0,GCAM-China-ref
QH,airCO2,1990,0,GCAM-China-ref
SC,airCO2,1990,0,GCAM-China-ref
SD,airCO2,1990,0,GCAM-China-ref
SH,airCO2,1990,0,GCAM-China-ref
SN,airCO2,1990,0,GCAM-China-ref
SX,airCO2,1990,0,GCAM-China-ref
TJ,airCO2,1990,0,GCAM-China-ref
XJ,airCO2,1990,0,GCAM-China-ref
YN,airCO2,1990,0,GCAM-China-ref
ZJ,airCO2,1990,0,GCAM-China-ref
China,backup_electricity,1990,0,GCAM-China-ref
AH,base load generation,1990,3.7215743,GCAM-China-ref
BJ,base load generation,1990,2.129954,GCAM-China-ref
CQ,base load generation,1990,0,GCAM-China-ref
FJ,base load generation,1990,1.4158353,GCAM-China-ref
GD,base load generation,1990,9.09396,GCAM-China-ref
GS,base load generation,1990,1.5655011,GCAM-China-ref
GX,base load generation,1990,1.0803284,GCAM-China-ref
GZ,base load generation,1990,1.66299432,GCAM-China-ref
HA,base load generation,1990,5.1019347,GCAM-China-ref
HB,base load generation,1990,2.112525,GCAM-China-ref
HE,base load generation,1990,7.1197198,GCAM-China-ref
HI,base load generation,1990,0.276424,GCAM-China-ref
HL,base load generation,1990,5.4187126,GCAM-China-ref
HN,base load generation,1990,1.6556528,GCAM-China-ref
JL,base load generation,1990,2.785228,GCAM-China-ref
JS,base load generation,1990,8.326994,GCAM-China-ref
JX,base load generation,1990,1.2877169,GCAM-China-ref
LN,base load generation,1990,7.30300157,GCAM-China-ref
NM,base load generation,1990,3.4658302,GCAM-China-ref
NX,base load generation,1990,0.98525766,GCAM-China-ref
QH,base load generation,1990,0.2053542,GCAM-China-ref
SC,base load generation,1990,3.5123622,GCAM-China-ref
SD,base load generation,1990,9.42433853,GCAM-China-ref
SH,base load generation,1990,5.925043,GCAM-China-ref
SN,base load generation,1990,2.1332578,GCAM-China-ref
SX,base load generation,1990,5.94938,GCAM-China-ref
TJ,base load generation,1990,2.36250618,GCAM-China-ref
XJ,base load generation,1990,1.0673727,GCAM-China-ref
XZ,base load generation,1990,0.0186187,GCAM-China-ref
YN,base load generation,1990,0.989081,GCAM-China-ref
ZJ,base load generation,1990,3.767902,GCAM-China-ref
China,biochar,1990,0,GCAM-China-ref
AH,cement,1990,1.36541,GCAM-China-ref
BJ,cement,1990,0.713932,GCAM-China-ref
CQ,cement,1990,0.729326,GCAM-China-ref
FJ,cement,1990,0.425181,GCAM-China-ref
GD,cement,1990,1.05917,GCAM-China-ref
GS,cement,1990,0.431625,GCAM-China-ref
GX,cement,1990,0.689972,GCAM-China-ref
GZ,cement,1990,0.778456,GCAM-China-ref
HA,cement,1990,1.23998,GCAM-China-ref
HB,cement,1990,1.54961,GCAM-China-ref
HE,cement,1990,2.11937,GCAM-China-ref
HI,cement,1990,0.0241528,GCAM-China-ref
HL,cement,1990,0.8529,GCAM-China-ref
HN,cement,1990,1.2838,GCAM-China-ref
JL,cement,1990,1.01871,GCAM-China-ref
JS,cement,1990,1.61358,GCAM-China-ref
JX,cement,1990,0.585331,GCAM-China-ref
LN,cement,1990,2.95712,GCAM-China-ref
NM,cement,1990,0.874816,GCAM-China-ref
NX,cement,1990,0.129216,GCAM-China-ref
QH,cement,1990,0.0780796,GCAM-China-ref
SC,cement,1990,1.30002,GCAM-China-ref
SD,cement,1990,1.55971,GCAM-China-ref
SH,cement,1990,0.82751,GCAM-China-ref
SN,cement,1990,0.665241,GCAM-China-ref
SX,cement,1990,1.73321,GCAM-China-ref
TJ,cement,1990,0.425794,GCAM-China-ref
XJ,cement,1990,0.169348,GCAM-China-ref
XZ,cement,1990,0.0167207,GCAM-China-ref
YN,cement,1990,0.654777,GCAM-China-ref
ZJ,cement,1990,0.933923,GCAM-China-ref
AH,chemical energy use,1990,0,GCAM-China-ref
BJ,chemical energy use,1990,0,GCAM-China-ref
CQ,chemical energy use,1990,0,GCAM-China-ref
FJ,chemical energy use,1990,0,GCAM-China-ref
GD,chemical energy use,1990,0,GCAM-China-ref
GS,chemical energy use,1990,0,GCAM-China-ref
GX,chemical energy use,1990,0,GCAM-China-ref
GZ,chemical energy use,1990,0,GCAM-China-ref
HA,chemical energy use,1990,0,GCAM-China-ref
HB,chemical energy use,1990,0,GCAM-China-ref
HE,chemical energy use,1990,0,GCAM-China-ref
HI,chemical energy use,1990,0,GCAM-China-ref
HL,chemical energy use,1990,0,GCAM-China-ref
HN,chemical energy use,1990,0,GCAM-China-ref
JL,chemical energy use,1990,0,GCAM-China-ref
JS,chemical energy use,1990,0,GCAM-China-ref
JX,chemical energy use,1990,0,GCAM-China-ref
LN,chemical energy use,1990,0,GCAM-China-ref
NM,chemical energy use,1990,0,GCAM-China-ref
NX,chemical energy use,1990,0,GCAM-China-ref
QH,chemical energy use,1990,0,GCAM-China-ref
SC,chemical energy use,1990,0,GCAM-China-ref
SD,chemical energy use,1990,0,GCAM-China-ref
SH,chemical energy use,1990,0,GCAM-China-ref
SN,chemical energy use,1990,0,GCAM-China-ref
SX,chemical energy use,1990,0,GCAM-China-ref
TJ,chemical energy use,1990,0,GCAM-China-ref
XJ,chemical energy use,1990,0,GCAM-China-ref
YN,chemical energy use,1990,0,GCAM-China-ref
ZJ,chemical energy use,1990,0,GCAM-China-ref
China,coal,1990,6.61351,GCAM-China-ref
AH,coal to liquids,1990,0,GCAM-China-ref
GD,coal to liquids,1990,0,GCAM-China-ref
HE,coal to liquids,1990,0,GCAM-China-ref
HL,coal to liquids,1990,0,GCAM-China-ref
NM,coal to liquids,1990,0,GCAM-China-ref
NX,coal to liquids,1990,0,GCAM-China-ref
SD,coal to liquids,1990,0,GCAM-China-ref
SN,coal to liquids,1990,0,GCAM-China-ref
XJ,coal to liquids,1990,0,GCAM-China-ref
YN,coal to liquids,1990,0,GCAM-China-ref
AH,coke,1990,0,GCAM-China-ref
BJ,coke,1990,0,GCAM-China-ref
CQ,coke,1990,0,GCAM-China-ref
FJ,coke,1990,0,GCAM-China-ref
GD,coke,1990,0,GCAM-China-ref
GS,coke,1990,0,GCAM-China-ref
GX,coke,1990,0,GCAM-China-ref
GZ,coke,1990,0,GCAM-China-ref
HA,coke,1990,0,GCAM-China-ref
HB,coke,1990,0,GCAM-China-ref
HE,coke,1990,0,GCAM-China-ref
HL,coke,1990,0,GCAM-China-ref
HN,coke,1990,0,GCAM-China-ref
JL,coke,1990,0,GCAM-China-ref
JS,coke,1990,0,GCAM-China-ref
JX,coke,1990,0,GCAM-China-ref
LN,coke,1990,0,GCAM-China-ref
NM,coke,1990,0,GCAM-China-ref
NX,coke,1990,0,GCAM-China-ref
QH,coke,1990,0,GCAM-China-ref
SC,coke,1990,0,GCAM-China-ref
SD,coke,1990,0,GCAM-China-ref
SH,coke,1990,0,GCAM-China-ref
SN,coke,1990,0,GCAM-China-ref
SX,coke,1990,0,GCAM-China-ref
TJ,coke,1990,0,GCAM-China-ref
XJ,coke,1990,0,GCAM-China-ref
YN,coke,1990,0,GCAM-China-ref
ZJ,coke,1990,0,GCAM-China-ref
AH,comm heating,1990,0.1953337,GCAM-China-ref
BJ,comm heating,1990,0.3248022,GCAM-China-ref
CQ,comm heating,1990,0.05073841,GCAM-China-ref
FJ,comm heating,1990,1.06E-05,GCAM-China-ref
GD,comm heating,1990,1.06E-05,GCAM-China-ref
GS,comm heating,1990,0.40130844,GCAM-China-ref
GX,comm heating,1990,2.48E-05,GCAM-China-ref
GZ,comm heating,1990,0.306082,GCAM-China-ref
HA,comm heating,1990,0.12094437,GCAM-China-ref
HB,comm heating,1990,0.1580008,GCAM-China-ref
HE,comm heating,1990,0.4496878,GCAM-China-ref
HI,comm heating,1990,0,GCAM-China-ref
HL,comm heating,1990,0.12326843,GCAM-China-ref
HN,comm heating,1990,0.13588804,GCAM-China-ref
JL,comm heating,1990,0.5972828,GCAM-China-ref
JS,comm heating,1990,0.1258007,GCAM-China-ref
JX,comm heating,1990,0.03911759,GCAM-China-ref
LN,comm heating,1990,0.2861046,GCAM-China-ref
NM,comm heating,1990,0.3477504,GCAM-China-ref
NX,comm heating,1990,0.01246764,GCAM-China-ref
QH,comm heating,1990,0.01199985,GCAM-China-ref
SC,comm heating,1990,0.2281052,GCAM-China-ref
SD,comm heating,1990,1.0330745,GCAM-China-ref
SH,comm heating,1990,0.1609643,GCAM-China-ref
SN,comm heating,1990,0.09288768,GCAM-China-ref
SX,comm heating,1990,0.11934942,GCAM-China-ref
TJ,comm heating,1990,0.32342501,GCAM-China-ref
XJ,comm heating,1990,0.1718899,GCAM-China-ref
XZ,comm heating,1990,0.3588294,GCAM-China-ref
YN,comm heating,1990,0.0723705,GCAM-China-ref
ZJ,comm heating,1990,0.1664224,GCAM-China-ref
AH,comm hot water_cooking,1990,0.1637489,GCAM-China-ref
BJ,comm hot water_cooking,1990,0.02277201,GCAM-China-ref
CQ,comm hot water_cooking,1990,0.017968,GCAM-China-ref
FJ,comm hot water_cooking,1990,0.07656748,GCAM-China-ref
GD,comm hot water_cooking,1990,0.3897836,GCAM-China-ref
GS,comm hot water_cooking,1990,0.00881013,GCAM-China-ref
GX,comm hot water_cooking,1990,0.1644921,GCAM-China-ref
GZ,comm hot water_cooking,1990,0.2879437,GCAM-China-ref
HA,comm hot water_cooking,1990,0.00413399,GCAM-China-ref
HB,comm hot water_cooking,1990,0.15153468,GCAM-China-ref
HE,comm hot water_cooking,1990,0.01301944,GCAM-China-ref
HI,comm hot water_cooking,1990,0,GCAM-China-ref
HL,comm hot water_cooking,1990,0.00969108,GCAM-China-ref
HN,comm hot water_cooking,1990,0.1335904,GCAM-China-ref
JL,comm hot water_cooking,1990,0.04710958,GCAM-China-ref
JS,comm hot water_cooking,1990,0.11963248,GCAM-China-ref
JX,comm hot water_cooking,1990,0.0385418,GCAM-China-ref
LN,comm hot water_cooking,1990,0.0224702,GCAM-China-ref
NM,comm hot water_cooking,1990,0.0281112,GCAM-China-ref
NX,comm hot water_cooking,1990,0.001355,GCAM-China-ref
QH,comm hot water_cooking,1990,0.001044,GCAM-China-ref
SC,comm hot water_cooking,1990,0.2063232,GCAM-China-ref
SD,comm hot water_cooking,1990,0.0321484,GCAM-China-ref
SH,comm hot water_cooking,1990,0.0982384,GCAM-China-ref
SN,comm hot water_cooking,1990,0.00337183,GCAM-China-ref
SX,comm hot water_cooking,1990,0.00331464,GCAM-China-ref
TJ,comm hot water_cooking,1990,0.01517839,GCAM-China-ref
XJ,comm hot water_cooking,1990,0.01598947,GCAM-China-ref
XZ,comm hot water_cooking,1990,0.08873338,GCAM-China-ref
YN,comm hot water_cooking,1990,0.0597647,GCAM-China-ref
ZJ,comm hot water_cooking,1990,0.1565396,GCAM-China-ref
AH,construction energy use,1990,0,GCAM-China-ref
BJ,construction energy use,1990,0,GCAM-China-ref
CQ,construction energy use,1990,0,GCAM-China-ref
FJ,construction energy use,1990,0,GCAM-China-ref
GD,construction energy use,1990,0,GCAM-China-ref
GS,construction energy use,1990,0,GCAM-China-ref
GX,construction energy use,1990,0,GCAM-China-ref
GZ,construction energy use,1990,0,GCAM-China-ref
HA,construction energy use,1990,0,GCAM-China-ref
HB,construction energy use,1990,0,GCAM-China-ref
HE,construction energy use,1990,0,GCAM-China-ref
HI,construction energy use,1990,0,GCAM-China-ref
HL,construction energy use,1990,0,GCAM-China-ref
HN,construction energy use,1990,0,GCAM-China-ref
JL,construction energy use,1990,0,GCAM-China-ref
JS,construction energy use,1990,0,GCAM-China-ref
JX,construction energy use,1990,0,GCAM-China-ref
LN,construction energy use,1990,0,GCAM-China-ref
NM,construction energy use,1990,0,GCAM-China-ref
NX,construction energy use,1990,0,GCAM-China-ref
QH,construction energy use,1990,0,GCAM-China-ref
SC,construction energy use,1990,0,GCAM-China-ref
SD,construction energy use,1990,0,GCAM-China-ref
SH,construction energy use,1990,0,GCAM-China-ref
SN,construction energy use,1990,0,GCAM-China-ref
SX,construction energy use,1990,0,GCAM-China-ref
TJ,construction energy use,1990,0,GCAM-China-ref
XJ,construction energy use,1990,0,GCAM-China-ref
XZ,construction energy use,1990,0,GCAM-China-ref
YN,construction energy use,1990,0,GCAM-China-ref
ZJ,construction energy use,1990,0,GCAM-China-ref
China,crude oil,1990,1.164077,GCAM-China-ref
China,csp_backup,1990,0,GCAM-China-ref
AH,district heat,1990,0.0845952,GCAM-China-ref
BJ,district heat,1990,1.00944183,GCAM-China-ref
CQ,district heat,1990,0.0852239,GCAM-China-ref
FJ,district heat,1990,0,GCAM-China-ref
GD,district heat,1990,0.44463402,GCAM-China-ref
GS,district heat,1990,0.69272621,GCAM-China-ref
GX,district heat,1990,0,GCAM-China-ref
GZ,district heat,1990,0,GCAM-China-ref
HA,district heat,1990,0.53380204,GCAM-China-ref
HB,district heat,1990,0.98453194,GCAM-China-ref
HE,district heat,1990,1.15981305,GCAM-China-ref
HI,district heat,1990,0,GCAM-China-ref
HL,district heat,1990,1.6478603,GCAM-China-ref
HN,district heat,1990,0.94420346,GCAM-China-ref
JL,district heat,1990,1.5633746,GCAM-China-ref
JS,district heat,1990,1.12715512,GCAM-China-ref
JX,district heat,1990,0,GCAM-China-ref
LN,district heat,1990,4.7213364,GCAM-China-ref
NM,district heat,1990,0.78808914,GCAM-China-ref
NX,district heat,1990,0.02904276,GCAM-China-ref
QH,district heat,1990,0.00321502,GCAM-China-ref
SC,district heat,1990,0.1512208,GCAM-China-ref
SD,district heat,1990,1.04519878,GCAM-China-ref
SH,district heat,1990,1.26021048,GCAM-China-ref
SN,district heat,1990,0.24332087,GCAM-China-ref
SX,district heat,1990,0.75593044,GCAM-China-ref
TJ,district heat,1990,0.29214985,GCAM-China-ref
XJ,district heat,1990,0.17120569,GCAM-China-ref
YN,district heat,1990,0.00215013,GCAM-China-ref
ZJ,district heat,1990,0.32230452,GCAM-China-ref
China,gas pipeline,1990,0.184271,GCAM-China-ref
China,gas processing,1990,1.71476,GCAM-China-ref
AH,gas to liquids,1990,0,GCAM-China-ref
BJ,gas to liquids,1990,0,GCAM-China-ref
CQ,gas to liquids,1990,0,GCAM-China-ref
FJ,gas to liquids,1990,0,GCAM-China-ref
GD,gas to liquids,1990,0,GCAM-China-ref
GS,gas to liquids,1990,0,GCAM-China-ref
GX,gas to liquids,1990,0,GCAM-China-ref
GZ,gas to liquids,1990,0,GCAM-China-ref
HA,gas to liquids,1990,0,GCAM-China-ref
HB,gas to liquids,1990,0,GCAM-China-ref
HE,gas to liquids,1990,0,GCAM-China-ref
HI,gas to liquids,1990,0,GCAM-China-ref
HL,gas to liquids,1990,0,GCAM-China-ref
HN,gas to liquids,1990,0,GCAM-China-ref
JL,gas to liquids,1990,0,GCAM-China-ref
JS,gas to liquids,1990,0,GCAM-China-ref
JX,gas to liquids,1990,0,GCAM-China-ref
LN,gas to liquids,1990,0,GCAM-China-ref
NM,gas to liquids,1990,0,GCAM-China-ref
NX,gas to liquids,1990,0,GCAM-China-ref
QH,gas to liquids,1990,0,GCAM-China-ref
SC,gas to liquids,1990,0,GCAM-China-ref
SD,gas to liquids,1990,0,GCAM-China-ref
SH,gas to liquids,1990,0,GCAM-China-ref
SN,gas to liquids,1990,0,GCAM-China-ref
SX,gas to liquids,1990,0,GCAM-China-ref
TJ,gas to liquids,1990,0,GCAM-China-ref
XJ,gas to liquids,1990,0,GCAM-China-ref
XZ,gas to liquids,1990,0,GCAM-China-ref
YN,gas to liquids,1990,0,GCAM-China-ref
ZJ,gas to liquids,1990,0,GCAM-China-ref
AH,H2 central production,1990,0,GCAM-China-ref
BJ,H2 central production,1990,0,GCAM-China-ref
CQ,H2 central production,1990,0,GCAM-China-ref
FJ,H2 central production,1990,0,GCAM-China-ref
GD,H2 central production,1990,0,GCAM-China-ref
GS,H2 central production,1990,0,GCAM-China-ref
GX,H2 central production,1990,0,GCAM-China-ref
GZ,H2 central production,1990,0,GCAM-China-ref
HA,H2 central production,1990,0,GCAM-China-ref
HB,H2 central production,1990,0,GCAM-China-ref
HE,H2 central production,1990,0,GCAM-China-ref
HI,H2 central production,1990,0,GCAM-China-ref
HL,H2 central production,1990,0,GCAM-China-ref
HN,H2 central production,1990,0,GCAM-China-ref
JL,H2 central production,1990,0,GCAM-China-ref
JS,H2 central production,1990,0,GCAM-China-ref
JX,H2 central production,1990,0,GCAM-China-ref
LN,H2 central production,1990,0,GCAM-China-ref
NM,H2 central production,1990,0,GCAM-China-ref
NX,H2 central production,1990,0,GCAM-China-ref
QH,H2 central production,1990,0,GCAM-China-ref
SC,H2 central production,1990,0,GCAM-China-ref
SD,H2 central production,1990,0,GCAM-China-ref
SH,H2 central production,1990,0,GCAM-China-ref
SN,H2 central production,1990,0,GCAM-China-ref
SX,H2 central production,1990,0,GCAM-China-ref
TJ,H2 central production,1990,0,GCAM-China-ref
XJ,H2 central production,1990,0,GCAM-China-ref
XZ,H2 central production,1990,0,GCAM-China-ref
YN,H2 central production,1990,0,GCAM-China-ref
ZJ,H2 central production,1990,0,GCAM-China-ref
AH,H2 wholesale dispensing,1990,0,GCAM-China-ref
BJ,H2 wholesale dispensing,1990,0,GCAM-China-ref
CQ,H2 wholesale dispensing,1990,0,GCAM-China-ref
FJ,H2 wholesale dispensing,1990,0,GCAM-China-ref
GD,H2 wholesale dispensing,1990,0,GCAM-China-ref
GS,H2 wholesale dispensing,1990,0,GCAM-China-ref
GX,H2 wholesale dispensing,1990,0,GCAM-China-ref
GZ,H2 wholesale dispensing,1990,0,GCAM-China-ref
HA,H2 wholesale dispensing,1990,0,GCAM-China-ref
HB,H2 wholesale dispensing,1990,0,GCAM-China-ref
HE,H2 wholesale dispensing,1990,0,GCAM-China-ref
HI,H2 wholesale dispensing,1990,0,GCAM-China-ref
HL,H2 wholesale dispensing,1990,0,GCAM-China-ref
HN,H2 wholesale dispensing,1990,0,GCAM-China-ref
JL,H2 wholesale dispensing,1990,0,GCAM-China-ref
JS,H2 wholesale dispensing,1990,0,GCAM-China-ref
JX,H2 wholesale dispensing,1990,0,GCAM-China-ref
LN,H2 wholesale dispensing,1990,0,GCAM-China-ref
NM,H2 wholesale dispensing,1990,0,GCAM-China-ref
NX,H2 wholesale dispensing,1990,0,GCAM-China-ref
QH,H2 wholesale dispensing,1990,0,GCAM-China-ref
SC,H2 wholesale dispensing,1990,0,GCAM-China-ref
SD,H2 wholesale dispensing,1990,0,GCAM-China-ref
SH,H2 wholesale dispensing,1990,0,GCAM-China-ref
SN,H2 wholesale dispensing,1990,0,GCAM-China-ref
SX,H2 wholesale dispensing,1990,0,GCAM-China-ref
TJ,H2 wholesale dispensing,1990,0,GCAM-China-ref
XJ,H2 wholesale dispensing,1990,0,GCAM-China-ref
XZ,H2 wholesale dispensing,1990,0,GCAM-China-ref
YN,H2 wholesale dispensing,1990,0,GCAM-China-ref
ZJ,H2 wholesale dispensing,1990,0,GCAM-China-ref
AH,intermediate generation,1990,2.14953398,GCAM-China-ref
BJ,intermediate generation,1990,1.12037,GCAM-China-ref
CQ,intermediate generation,1990,0,GCAM-China-ref
FJ,intermediate generation,1990,0.8167802,GCAM-China-ref
GD,intermediate generation,1990,3.04484638,GCAM-China-ref
GS,intermediate generation,1990,1.17308835,GCAM-China-ref
GX,intermediate generation,1990,0.3480078,GCAM-China-ref
GZ,intermediate generation,1990,0.53230661,GCAM-China-ref
HA,intermediate generation,1990,4.13312793,GCAM-China-ref
HB,intermediate generation,1990,1.6701024,GCAM-China-ref
HE,intermediate generation,1990,3.79052498,GCAM-China-ref
HI,intermediate generation,1990,0.0882659,GCAM-China-ref
HL,intermediate generation,1990,3.05006308,GCAM-China-ref
HN,intermediate generation,1990,1.3321387,GCAM-China-ref
JL,intermediate generation,1990,1.57362,GCAM-China-ref
JS,intermediate generation,1990,4.80098938,GCAM-China-ref
JX,intermediate generation,1990,1.0304113,GCAM-China-ref
LN,intermediate generation,1990,4.09324416,GCAM-China-ref
NM,intermediate generation,1990,1.8442701,GCAM-China-ref
NX,intermediate generation,1990,0.73932262,GCAM-China-ref
QH,intermediate generation,1990,0.1478831,GCAM-China-ref
SC,intermediate generation,1990,2.82381536,GCAM-China-ref
SD,intermediate generation,1990,5.00336882,GCAM-China-ref
SH,intermediate generation,1990,3.36746738,GCAM-China-ref
SN,intermediate generation,1990,1.59858613,GCAM-China-ref
SX,intermediate generation,1990,3.16812738,GCAM-China-ref
TJ,intermediate generation,1990,1.239056,GCAM-China-ref
XJ,intermediate generation,1990,0.7733682,GCAM-China-ref
XZ,intermediate generation,1990,0.0139804,GCAM-China-ref
YN,intermediate generation,1990,0.315824,GCAM-China-ref
ZJ,intermediate generation,1990,2.16557238,GCAM-China-ref
AH,iron and steel,1990,0,GCAM-China-ref
BJ,iron and steel,1990,0,GCAM-China-ref
CQ,iron and steel,1990,0,GCAM-China-ref
FJ,iron and steel,1990,0,GCAM-China-ref
GD,iron and steel,1990,0,GCAM-China-ref
GS,iron and steel,1990,0,GCAM-China-ref
GX,iron and steel,1990,0,GCAM-China-ref
GZ,iron and steel,1990,0,GCAM-China-ref
HA,iron and steel,1990,0,GCAM-China-ref
HB,iron and steel,1990,0,GCAM-China-ref
HE,iron and steel,1990,0,GCAM-China-ref
HI,iron and steel,1990,0,GCAM-China-ref
HL,iron and steel,1990,0,GCAM-China-ref
HN,iron and steel,1990,0,GCAM-China-ref
JL,iron and steel,1990,0,GCAM-China-ref
JS,iron and steel,1990,0,GCAM-China-ref
JX,iron and steel,1990,0,GCAM-China-ref
LN,iron and steel,1990,0,GCAM-China-ref
NM,iron and steel,1990,0,GCAM-China-ref
NX,iron and steel,1990,0,GCAM-China-ref
QH,iron and steel,1990,0,GCAM-China-ref
SC,iron and steel,1990,0,GCAM-China-ref
SD,iron and steel,1990,0,GCAM-China-ref
SH,iron and steel,1990,0,GCAM-China-ref
SN,iron and steel,1990,0,GCAM-China-ref
SX,iron and steel,1990,0,GCAM-China-ref
TJ,iron and steel,1990,0,GCAM-China-ref
XJ,iron and steel,1990,0,GCAM-China-ref
YN,iron and steel,1990,0,GCAM-China-ref
ZJ,iron and steel,1990,0,GCAM-China-ref
AH,mining energy use,1990,0,GCAM-China-ref
BJ,mining energy use,1990,0,GCAM-China-ref
CQ,mining energy use,1990,0,GCAM-China-ref
FJ,mining energy use,1990,0,GCAM-China-ref
GD,mining energy use,1990,0,GCAM-China-ref
GS,mining energy use,1990,0,GCAM-China-ref
GX,mining energy use,1990,0,GCAM-China-ref
GZ,mining energy use,1990,0,GCAM-China-ref
HA,mining energy use,1990,0,GCAM-China-ref
HB,mining energy use,1990,0,GCAM-China-ref
HE,mining energy use,1990,0,GCAM-China-ref
HI,mining energy use,1990,0,GCAM-China-ref
HL,mining energy use,1990,0,GCAM-China-ref
HN,mining energy use,1990,0,GCAM-China-ref
JL,mining energy use,1990,0,GCAM-China-ref
JS,mining energy use,1990,0,GCAM-China-ref
JX,mining energy use,1990,0,GCAM-China-ref
LN,mining energy use,1990,0,GCAM-China-ref
NM,mining energy use,1990,0,GCAM-China-ref
NX,mining energy use,1990,0,GCAM-China-ref
QH,mining energy use,1990,0,GCAM-China-ref
SC,mining energy use,1990,0,GCAM-China-ref
SD,mining energy use,1990,0,GCAM-China-ref
SH,mining energy use,1990,0,GCAM-China-ref
SN,mining energy use,1990,0,GCAM-China-ref
SX,mining energy use,1990,0,GCAM-China-ref
TJ,mining energy use,1990,0,GCAM-China-ref
XJ,mining energy use,1990,0,GCAM-China-ref
XZ,mining energy use,1990,0,GCAM-China-ref
YN,mining energy use,1990,0,GCAM-China-ref
ZJ,mining energy use,1990,0,GCAM-China-ref
AH,N fertilizer,1990,0.5831658,GCAM-China-ref
BJ,N fertilizer,1990,0.5655516,GCAM-China-ref
CQ,N fertilizer,1990,1.592321,GCAM-China-ref
FJ,N fertilizer,1990,0.01671088,GCAM-China-ref
GD,N fertilizer,1990,0.3568008,GCAM-China-ref
GS,N fertilizer,1990,0.1825558,GCAM-China-ref
GX,N fertilizer,1990,0.0930392,GCAM-China-ref
GZ,N fertilizer,1990,1.2848457,GCAM-China-ref
HA,N fertilizer,1990,1.1120444,GCAM-China-ref
HB,N fertilizer,1990,0.406121,GCAM-China-ref
HE,N fertilizer,1990,0.9975966,GCAM-China-ref
HI,N fertilizer,1990,0.02226606,GCAM-China-ref
HL,N fertilizer,1990,1.517262,GCAM-China-ref
HN,N fertilizer,1990,1.758513,GCAM-China-ref
JL,N fertilizer,1990,0.2330494,GCAM-China-ref
JS,N fertilizer,1990,1.868187,GCAM-China-ref
JX,N fertilizer,1990,0.4796487,GCAM-China-ref
LN,N fertilizer,1990,0.2276298,GCAM-China-ref
NM,N fertilizer,1990,0.393023,GCAM-China-ref
NX,N fertilizer,1990,0.04109986,GCAM-China-ref
QH,N fertilizer,1990,0.03297023,GCAM-China-ref
SC,N fertilizer,1990,0.1805682,GCAM-China-ref
SD,N fertilizer,1990,3.700795,GCAM-China-ref
SH,N fertilizer,1990,0.04276097,GCAM-China-ref
SN,N fertilizer,1990,0.05519125,GCAM-China-ref
SX,N fertilizer,1990,1.537678,GCAM-China-ref
TJ,N fertilizer,1990,0.0793091,GCAM-China-ref
XJ,N fertilizer,1990,0.2163352,GCAM-China-ref
YN,N fertilizer,1990,0.442252,GCAM-China-ref
ZJ,N fertilizer,1990,0.297906,GCAM-China-ref
