scenario,region,sector,subsector,technology,1990,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100,Unit
GCAM-China-ref,AH,H2 central production,biomass,biomass to H2,0,0,0,0,0.00232876,0.0025946,0.008093201,0.010718719,0.010262798,0.005537207,0.001068662,8.15E-05,5.52E-08,3.82E-08,4.35E-07,8.40E-07,2.34E-07,9.36E-09,1.02E-10,3.49E-09,2.80E-09,MTC
GCAM-China-ref,AH,H2 central production,biomass,biomass to H2 CCS,0,0,0,0,0,1.67E-05,7.10E-05,3.05E-04,9.22E-04,0.001591836,0.002504208,0.005549825,0.1339156,0.221493306,0.197114128,0.177222956,0.149827892,0.12080674,0.102773397,0.097701814,0.057706354,MTC
GCAM-China-ref,AH,H2 central production,coal,coal chemical CCS,0,0,0,0,0,0.00231531,0.01368675,0.0257531,0.03631369,0.0454911,0.05273895,0.06379401,0.075154646,0.07647148,0.07819347,0.06496813,0.0496999,0.03614863,0.02764274,0.02334526,0.04236235,MTC
GCAM-China-ref,AH,H2 central production,gas,natural gas steam reforming,0,0,0,0,0.0546623,0.0648219,0.1896717,0.2526189,0.2628442,0.2415091,0.15128175,0.037787339,7.45E-05,4.77E-05,3.96E-04,9.70E-04,5.53E-04,9.19E-05,8.66E-06,1.11E-05,1.10E-04,MTC
GCAM-China-ref,AH,H2 central production,gas,natural gas steam reforming CCS,0,0,0,0,0,2.35E-04,0.001555356,0.0039145,0.006910125,0.010434832,0.014309483,0.021095449,0.038345378,0.042786306,0.043132822,0.03824243,0.03073672,0.02332939,0.01847333,0.015949393,0.020220711,MTC
GCAM-China-ref,AH,H2 wholesale dispensing,forecourt production,natural gas steam reforming,0,0,0,0,0,0.01239,0.05034285,0.1229865,0.18353075,0.2184738,0.2280734,0.2109145,0.07025459,0.07347162,0.1396099,0.1884151,0.2213467,0.2366722,0.235075,0.223591,0.2003386,MTC
GCAM-China-ref,AH,N fertilizer,coal,coal,0.497012,0.463938,0.924897,0.947836,0.9960593,1.02541,0.9929171,0.7997334,0.5159456,0.34052135,0.228233826,0.12322005,0.003940185,0.001833924,0.002327509,8.66E-04,1.56E-04,5.68E-05,7.28E-05,9.34E-05,8.57E-05,MTC
GCAM-China-ref,AH,N fertilizer,coal,coal CCS,0,0,0,0,0,0.00189372,0.00373529,0.01526792,0.03598341,0.050461987,0.059256181,0.063494085,0.060171472,0.051859681,0.045873586,0.043625094,0.043775682,0.045014705,0.046718482,0.049047927,0.046788649,MTC
GCAM-China-ref,AH,N fertilizer,gas,gas,0.0465061,0.0434113,0.0865438,0.0886903,0.09439826,0.10276337,0.10787641,0.11557314,0.11537149,0.10992784,0.095792473,0.071562415,0.037084664,0.019279762,0.008731233,0.003268673,0.001886661,0.002227646,0.003039442,0.003832422,0.003755224,MTC
GCAM-China-ref,AH,N fertilizer,gas,gas CCS,0,0,0,0,0,7.00E-05,2.03E-04,9.17E-04,0.002305941,0.003779622,0.005626496,0.008407925,0.011987922,0.014084523,0.015966362,0.017717847,0.019025537,0.019927186,0.020816283,0.02210376,0.021648587,MTC
GCAM-China-ref,AH,N fertilizer,hydrogen,hydrogen,0,0,0,0,0,1.42E-04,8.33E-04,0.002585163,0.004214924,0.004695509,0.004122868,0.003072886,0.001789223,7.58E-04,2.30E-04,5.23E-05,7.79E-06,0,0,0,0,MTC
GCAM-China-ref,AH,N fertilizer,refined liquids,refined liquids,0.0396477,0.0370093,0.073781,0.0756109,0.07560638,0.07898179,0.07347549,0.0501647,0.02455503,0.01063442,0.003994825,9.28E-04,4.90E-05,9.80E-06,0,0,0,0,0,0,0,MTC
GCAM-China-ref,AH,agricultural energy use,coal,coal,0,0,0.612462,0.649191,0.635113,0.578062,0.5679342,0.4717163,0.4069563,0.3450024,0.2554296,0.1566761,0.08357244,0.04218972,0.02438836,0.02358125,0.03090966,0.03677718,0.03969187,0.03926252,0.03470167,MTC
GCAM-China-ref,AH,agricultural energy use,gas,gas,0,0,0.00119706,0.00155064,0.001525271,0.001488341,0.001508272,0.001512455,0.001508121,0.001501122,0.001491699,0.001439019,0.001162629,0.001004231,9.49E-04,9.43E-04,9.80E-04,9.91E-04,9.67E-04,9.20E-04,8.50E-04,MTC
GCAM-China-ref,AH,agricultural energy use,liquid,liquid,0,0,0.180639,0.195888,0.1932818,0.1875249,0.1885995,0.186338,0.1854804,0.1836765,0.1795244,0.1673086,0.1309277,0.1097811,0.1003081,0.0965063,0.099316,0.1001122,0.0978248,0.0935797,0.0870661,MTC
GCAM-China-ref,AH,airCO2,airCO2,airCO2,0,0,0,0,0,-1.75E-09,-2.67E-09,-4.85E-09,-1.01E-08,-1.87E-08,-4.26E-08,-8.17E-08,-8.28E-07,-1.86E-06,-1.69E-06,-1.07E-06,-8.96E-07,-9.36E-07,-1.14E-06,-2.27E-06,-1.22E-05,MTC
GCAM-China-ref,AH,base load generation,biomass,biomass_base_IGCC,0,0,0,0,0.0896805,0.1728562,0.2171292,0.3186622,0.3756812,0.3872712,0.3508525,0.16399202,0.01352289,0.002074539,0.004764622,0.013790053,0.047232867,0.076812713,0.054400955,0.036250443,0.025686542,MTC
GCAM-China-ref,AH,base load generation,biomass,biomass_base_IGCC_CCS,0,0,0,0,0,0.00835106,0.01186485,0.0220128,0.02952007,0.03631588,0.06123612,0.12624189,0.22477167,0.23384467,0.2287433,0.2298469,0.2588983,0.28790996,0.2993917,0.29538431,0.29668981,MTC
